container,vessel,shipped_date,week,audited,success
MNBU4083809,SANTA TERESA,12/01/2023 00:00,202302,1,1
MNBU4083877,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4085186,MAERSK DANUBE,22/02/2023 00:00,202308,1,1
MNBU4085205,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4085376,MOL PROFICIENCY,01/12/2022 00:00,202248,0,
MNBU4085946,SANTA TERESA,12/01/2023 00:00,202302,1,1
MNBU4086285,SANTA CRUZ,28/12/2022 00:00,202252,0,
MNBU4086731,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4087569,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4087980,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4088014,MSC SHIRLEY,04/02/2023 00:00,202305,1,1
MNBU4088821,SANTA RITA,14/12/2022 00:00,202250,1,1
MNBU4089941,SANTA CRUZ,28/12/2022 00:00,202252,1,1
MNBU4090182,MOL PRESENCE,21/12/2022 00:00,202251,1,1
MNBU4091023,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4091506,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4091770,MAERSK DANUBE,10/02/2023 00:00,202306,1,1
MNBU4091975,SANTA CRUZ,05/03/2023 00:00,202310,0,
MNBU4092159,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4092354,SANTA RITA,14/12/2022 00:00,202250,1,1
MNBU4092518,MAERSK DANUBE,22/02/2023 00:00,202308,1,1
MNBU4092605,MSC ACAPULCO,05/03/2023 00:00,202310,0,
MNBU4092734,SANTA ISABEL,05/02/2023 00:00,202306,0,
MNBU4093108,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4094001,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4094629,MEHUIN,19/01/2023 00:00,202303,0,
MNBU4096051,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4096339,MEHUIN,19/01/2023 00:00,202303,0,
MNBU4096489,MOL PRESENCE,21/12/2022 00:00,202251,0,
MNBU4096597,SANTA ISABEL,05/02/2023 00:00,202306,1,1
MNBU4096679,SANTA RITA,25/02/2023 00:00,202308,1,1
MNBU4097042,MARATHOPOLIS,27/01/2023 00:00,202304,0,
MNBU4097314,SANTA CLARA,29/01/2023 00:00,202305,1,1
MNBU4097398,MEHUIN,19/01/2023 00:00,202303,1,1
MNBU4097567,SANTA TERESA,12/01/2023 00:00,202302,1,1
MNBU4097952,SANTA CLARA,29/01/2023 00:00,202305,1,1
